fecha,intensidad_3820,intensidad_6642,intensidad_6676,intensidad_6782,ocupacion_3820,ocupacion_6642,ocupacion_6676,ocupacion_6782,vmed_3820,vmed_6642,vmed_6676,vmed_6782
2025-11-01 00:00:00,2644.231721410867,2361.2160413633583,905.1846262454521,2100.3564593829547,5.042619076197573,3.8513320502692263,6.8311380375811,3.901512141522191,90.94400889788443,98.41771901235937,89.82593806707251,102.1373318480641
2025-11-01 01:00:00,2234.893432885872,2673.9799397190645,898.3520016137737,1980.0722613877383,5.041155705040794,3.824051595898048,7.305927866880218,5.598032163844457,90.98007158284094,101.11759722507318,87.09157166971872,105.11370823839282
2025-11-01 02:00:00,2017.0244346641155,2514.060183056976,714.0047966683968,1664.031262305424,4.926574578663328,4.834707994061608,9.350116682467199,5.79094603557441,89.91756474881856,97.88423633718216,81.47583370167645,105.29363847665027
2025-11-01 03:00:00,1523.7915387905925,2000.247136258475,300.9426330524316,927.1312390359058,2.683476096292327,3.428226365781242,7.383483227869054,4.419340835304769,92.2674301543044,95.78091984785411,83.5830872205326,105.42208074308893
2025-11-01 04:00:00,957.958142822931,1497.1358789422693,-168.574867564575,339.8228164313731,-0.15597982984910663,1.0409662173944187,3.9255183243421246,3.445355540035603,95.40282790123518,95.50128693246226,90.25377045975922,106.61265899779896
2025-11-01 05:00:00,1037.5487578950494,1285.7248049150849,-28.272597162328793,140.2137656755449,-0.09611983695162918,0.3849042537751846,2.3628978206344797,2.2996631232761997,94.08173361174983,94.77254365770077,93.37624447739108,105.88432317890985
2025-11-01 06:00:00,1978.8039310190272,2038.7856080088095,731.1598609326884,456.23286595887,2.0555229956310974,1.349312706918766,4.067824229865347,2.1669001497192233,91.27890939289654,97.388643369481,92.27683273688261,102.92259071202533
2025-11-01 07:00:00,3175.662444847894,3679.324808676074,1759.8816186380836,1873.5483434694106,7.267774076921418,6.713584596511058,7.728309533767375,4.92859582581299,82.89220073717476,91.05501427553551,85.48744103033178,96.75316167669907
2025-11-01 08:00:00,3714.1702625743183,4299.2417207213,2067.8909424932035,3034.9117458346245,9.530278535903648,11.475095270330861,9.766860809083347,8.736471941466313,78.98516727495598,84.05112005581276,80.57157325223311,90.92114983149449
2025-11-01 09:00:00,3752.342414496274,4252.493537917326,2092.695269145795,3056.376690092453,10.555679549682825,11.87863990547552,10.051597297755896,8.868892896898696,76.55214249260314,85.46900018167791,78.64348160225971,89.56844113810632
2025-11-01 10:00:00,3982.046712088515,4420.953181695895,2415.620231793397,3200.1463878094983,11.21763392450831,11.07657335497004,10.574962001134296,10.758215264456712,76.76127554622971,88.7814486050233,78.1883494050434,88.38160541582751
2025-11-01 11:00:00,4715.282106379864,4864.414463498235,3035.216483942932,3781.859008106216,12.665733712593074,12.232014996682013,12.02702042016425,11.644282450198478,78.10936480057299,92.72410093346681,76.92727119525986,88.11753260399006
2025-11-01 12:00:00,5281.129589399183,5459.331658211529,3553.4639499892555,4222.143374146578,13.181364891877017,14.407969227516075,13.148505306825967,12.955822825859256,79.09410898516705,93.53105920726374,76.16340702201687,87.87435115953015
2025-11-01 13:00:00,5523.977577103901,6170.46431367721,3821.388961384159,4935.774839871318,16.83895115902202,17.58201199760623,15.131641549144566,14.621902215769062,71.55589181130328,90.66985795378206,71.96384738349649,86.59749722744408
2025-11-01 14:00:00,5490.10851158168,6108.511962566528,3825.380956655319,4871.0216166369155,17.85349077952614,19.609496948806303,16.348677974603653,16.720854679429806,69.66307832569929,89.33280738168625,69.70793336687531,82.78346468429416
2025-11-01 15:00:00,5288.563245771309,5448.898770120128,3568.10990904098,3530.132839829536,15.610919240828814,15.93024507937803,13.614883322973853,14.43123137122101,73.3625276510556,95.05458627265764,75.12669129221723,84.25202895147754
2025-11-01 16:00:00,5050.2157529694905,5414.071703714941,3217.4386648468962,2690.751888384161,9.511963938546442,11.745259362666497,10.473267864176002,11.499549063147324,86.51665464216238,100.92806286602618,81.68812753822372,88.94419722955675
2025-11-01 17:00:00,5035.423897294068,5517.649610425919,3194.0757867801135,2722.3930484711145,10.338562902310933,12.744963382086022,9.911297710494226,9.658182237163215,83.26317591680235,96.41288471063167,82.41776031160872,91.66059813414331
2025-11-01 18:00:00,5078.33155564974,5441.536622523205,3293.112648490064,2783.4236774976043,12.601272566167825,13.417417997158042,11.213681220387038,8.776220944961276,77.88077967363796,92.16977173094544,79.09149834275836,91.48726491998752
2025-11-01 19:00:00,5087.225913813392,5606.576087891213,3172.7212664142216,3036.836609234256,10.202339760166952,13.598114662854789,9.980887102886793,7.955210261649062,84.04208528090614,89.28714565297322,81.11351501397598,93.3897940022276
2025-11-01 20:00:00,5021.012723759209,5593.793686499237,3064.923277859532,2997.8138584469557,10.229867911944526,13.978388738242156,9.0586205059433,7.137838640835441,83.72847024155863,87.59637070636987,82.9724682803442,94.95992341046171
2025-11-01 21:00:00,4552.438692868871,5034.1580213398765,2800.9580720321082,2498.231499059391,9.111570393756084,12.128909360800293,8.293338249314118,6.222692683816195,83.77058327173172,89.68927886084799,83.92061045172105,95.53556045197239
2025-11-01 22:00:00,3833.8531772022907,4155.4586776217275,2355.340870715455,2067.2616960790456,7.411811975617488,9.24468897804837,7.001173511894438,5.118545078908562,85.75685309151109,93.44518103426947,85.38448156681291,96.58597965639146
2025-11-01 23:00:00,3115.032839852898,3236.2941166743058,1817.9734951336052,1893.4070141521436,5.297712529459371,7.526219994779979,6.338852471186622,5.201112935416353,87.80874237667217,95.59926610574765,85.31863872845031,97.03544259879166
2025-11-02 00:00:00,2696.6321661065117,2861.2232252297995,1622.698648997628,1666.8147184008303,3.666100595713754,5.7668664106245755,6.024524249082088,4.698228133939672,90.67087719662592,100.4629457610296,85.55966092524437,99.86851332196854
2025-11-02 01:00:00,2393.366678929421,2949.7065126710495,1506.0897238995865,1583.4321008073236,2.8990802241924287,5.036837561269796,5.402713416386272,4.14075325781241,91.92178334998415,102.66614122674005,86.7818641772571,102.35175066815916
2025-11-02 02:00:00,2133.0406151327124,2773.976154814359,1284.3585480382303,1343.8612256123029,2.35711387274788,5.151873164262225,4.93897547964134,3.6306956801404837,91.66727910509985,99.66976835310656,87.07838102088193,101.26857892141021
2025-11-02 03:00:00,1669.550242723673,2339.1604162491994,850.244848711174,795.8152449384916,0.2473019206529683,3.579141651756423,3.325567152445518,2.520377969465006,93.21082488925279,97.78409822514027,89.05724525757871,100.00361504129778
2025-11-02 04:00:00,1181.8386756178556,1931.198567090113,346.2150934091967,425.83657632693075,-1.611804123599388,1.8395827535800882,1.5507073601098216,1.4022775736984037,94.42297911043097,96.724006878883,91.14811155967588,100.57683016617375
2025-11-02 05:00:00,1218.8685858186236,1730.3974081671474,343.8704102513542,284.15882407178015,-1.3977534748370872,1.8264325018429528,1.3565891901943044,0.8654687830304284,93.78791054935732,96.49339582236816,91.23126108963436,101.24555067402625
2025-11-02 06:00:00,1975.3942050790536,2435.4293821024303,1129.2004274198102,632.0881960001395,0.7985823185984642,2.96563698568303,2.9838632353379704,1.231618792290988,91.13255004239656,97.90244287009904,89.64561348836435,100.32757988131706
2025-11-02 07:00:00,2953.3207158172954,3770.890126419821,2138.041384729522,1749.2777121832924,4.922659362912581,7.054469676031362,5.96889199350851,3.976629802406416,85.24929896944576,93.49468213016712,85.34821819406929,96.31119039189934
2025-11-02 08:00:00,3448.9531024335633,4384.912384761639,2507.8667757794774,2608.5581098404045,7.2762851805613025,11.099608380989364,8.1604268130159,7.056588966106858,81.89881669583913,87.5825965737263,80.87141862113958,92.39387988993187
2025-11-02 09:00:00,3648.3716680382863,4476.4467346186,2672.1992681511065,2656.1604965462,7.86647780893416,11.51152903369601,8.706906648454641,7.736703119751224,81.42164321409044,88.8131718223073,79.72342461130978,91.3985904229055
2025-11-02 10:00:00,4014.934275766639,4765.135998103333,3087.334331644207,2836.059475507596,8.310337442065784,11.071202585382803,8.994635309314546,7.923417962209183,83.13249330748376,93.29070866011273,80.62649403043116,92.68011256851365
2025-11-02 11:00:00,4630.436723028975,5129.319714324862,3669.8036702432682,3249.04316196903,9.329866725897247,12.238756861466696,10.204707338154785,8.291594939458975,84.59092733368267,96.37517773267125,80.06830628002237,93.79283011224797
2025-11-02 12:00:00,5114.548695489715,5578.815558718763,4091.289993573405,3539.9970461807447,9.83260348464875,13.725536830250565,11.347475754650198,8.637244633599101,85.59391574299269,97.86853359948586,79.06969793831921,94.62397217071579
2025-11-02 13:00:00,5387.831501971756,6099.985068055395,4310.6334456193,4006.5625710906415,11.86242512763543,16.054706299540733,12.297924880144512,9.2161544742285,81.77713472219675,96.09591696650186,77.4727308174446,94.80776640197345
2025-11-02 14:00:00,5419.015513701858,6094.149431320814,4284.689784944251,4057.904868118899,13.087699013815683,17.048986967041927,12.579546200238138,9.385382981731764,78.78155016995349,94.98292747443872,76.8072684554056,94.26562398385332
2025-11-02 15:00:00,5197.601271212223,5606.975514216807,3997.876386011817,3166.025319812624,11.212348766666668,13.936163976838046,10.592638545857037,7.578650998476376,81.42859042962645,99.64621435053833,80.75482850325866,96.01442872437636
2025-11-02 16:00:00,4970.410471783203,5415.577056981603,3712.650634097205,2559.5924793609765,8.113715836860035,11.43084977542895,8.279464179426265,5.557372174551439,87.90461029064905,102.688471183132,85.2829937962835,99.18425425939448
2025-11-02 17:00:00,4918.7003933478845,5319.70291783046,3636.043808738261,2639.1747821797226,9.111595648580087,12.50493192512591,8.54464736757134,5.125681375591298,85.02114396405248,97.84165151863344,83.9786355600016,99.51502382584313
